title,City,Salary,Experience,experience_level,Job Type,functional_area,career_level,skills
Account Manager,Other,100000.0,2.0,Junior,Full Time,Other,Not Specified,"Communication, Relationship Management, Sales Ability, Negotiation, Product Knowledge, Problem-Solving, Time Management, Attention to Detail, Financial Acumen, CRM Software, Account Planning, Project Management Tools"
Trade Marketing Manager,Lahore,100000.0,6.0,Senior,Full Time,Other,Not Specified,"Strategic Planning, Market Analysis, Budget Management, Retail Marketing, Merchandising"
Mathematics Teacher,Islamabad,40000.0,2.783132530120482,Junior,Full Time,"Teachers/Education, Training & Development",Entry Level,"Communication Skills, Presentation Skills, Fluent in English"
Assistant Manager - Underwriting Operations / Claims Handler,Lahore,80000.0,3.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Claims Processing Reports, Document Verification, Claim Settlement, Claims Investigations, Policy Issuance, Underwriting Policies, Risk Assessment"
Accounts Officer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Admin Operations Management, Field Task Management, Budgeting Skills"
Sales Executive,Lahore,82639.59731543624,3.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Business Development, Communication Skills, Marketing Skills"
Inside Sales Representative,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Customer Service Solutions, Real Estate Knowledge, Hospitality Management, Communication Skills"
Sales Executive,Lahore,37500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Sales Management, Sales Automation, Corporate Sales Management"
Manager - Networks,Lahore,150000.0,8.0,Senior,Full Time,Computer Networking,Experienced Professional,"Vendor Coordination, Equipment Inventory, Performance Issue Resolution, Network Monitoring Tools, Configuration Skills, Network Utilization, WAN Connectivity"
Lab Technician,Lahore,30000.0,2.783132530120482,Junior,Full Time,Health & Medicine,Entry Level,"Equipment Maintenance, Quality Control, Sample Handling, Laboratory Testing Expertise, Communication Skills"
Subject Teacher - Commerce,Karachi,22500.0,2.783132530120482,Junior,Full Time,"Teachers/Education, Training & Development",Entry Level,"Communication Skills, Presentation Skills, Fluent in English"
Sales Associate,Lahore,42500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Ingredient Management, Communication Skills, Sales Operations"
Customer Care Specialist - Walmart Pricing,Other,42500.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"eCommerce  Knowledge, Customer Care Representation, Competitive Analysis, Pricing Analysis"
PHP / Laravel Developer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Software & Web Development,Experienced Professional,"MySQL, Postgres Databases, Laravel Framework, Artificial Intelligence Knowledge"
Customer Support Executive,Lahore,35000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Relations Management Skills, Email List Management, MS Excel"
Sales Executive - Upwork / Fiverr,Karachi,60000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Sales Management, Communication Skills, End to End Sales"
Senior Officer - Centralized Payment / FAR,Lahore,65000.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Outstanding Claims, Monthly Bank reconciliation, GL Entries, Claim Payments, Accounts Payable"
Data Entry Intern - Health Department,Lahore,82639.59731543624,2.783132530120482,Junior,Other,Data Entry,Intern/Student,"Folder Management, Data Maintenance, Record Keeping, Time Management"
Sales Agent,Lahore,70000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Sales Management, Communication Skills, Coordination Skills"
Call Center Agent / Dispatch Sales Executive,Lahore,70000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Coordination Skills, Fluent in English, Communication Skills"
Customer Service Representative (English Speaker),Karachi,52500.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Coordination Skills, Fluent in English, Communication Skills"
Customer Service Representative,Islamabad,70000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Global Customer Services, Communication Skills, Customer Satisfaction Management"
Tubewell Solar Engineer,Faisalabad,30000.0,2.0,Junior,Full Time,Engineering,Experienced Professional,"Solar System Installation, Solar Panel Maintenance, Solar System Design Knowledge"
Deputy Manager Knitting Quality,Other,82639.59731543624,2.783132530120482,Junior,Full Time,Quality Control,Experienced Professional,"Knitting Production Control, Process Improvement, Quality Control Knitting, Root Cause Analysis"
Social Media Manager,Lahore,175000.0,3.0,Junior,Full Time,Marketing,Experienced Professional,"Data Analytics, Community Engagement, Social Media Hand lining, Social Media Optimization, Social Media Strategies, Search Engine Ranking"
Accounts Officer,Lahore,32500.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Entry Level,"QuickBook, Fixed Income Strategies, Balance Sheet Handling, Admin Operations Management, Accounting Concept Principal"
Business Development Intern,Karachi,82639.59731543624,2.783132530120482,Junior,Other,Sales & Business Development,Intern/Student,"B2B Business Development, Business Development Process, Communication Skills"
Admission Consultant,Islamabad,30000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Admissions Counseling, Admission Handling, Student Counseling"
Executive Secretary,Lahore,150000.0,2.0,Junior,Full Time,"Secretarial, Clerical & Front Office",Experienced Professional,"Communication Skills, MS Excel, Front Office Support"
Deputy Manager Production Knitting,Other,82639.59731543624,15.0,Senior,Full Time,Manufacturing,Experienced Professional,"Workflow Optimization, Inline Quality Assurance, Team Supervision, Machine Maintenance Oversight, Knitting Production Planning"
Company Representative,Lahore,27500.0,1.0,Entry,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Legal Affairs, Fluent in English, Communication Skills"
2D Artist,Islamabad,400000.0,2.0,Junior,Full Time,Creative Design,Experienced Professional,"2D Art, Adobe Illustrator, 2D Graphics"
Educational Consultant,Multan,30000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Student Management, Admissions Counseling, Student Counseling"
Business Development Executive,Lahore,47500.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Development Development, Business Strategies, Business Development Process"
Travel Consultant,Lahore,67500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Fluent in English, Communication Skills, Travel Management Skills"
Export Documentation / Accounting Specialist,Karachi,125000.0,5.0,Mid,Full Time,Import & Export,Experienced Professional,"Multitasking Skills, Costing Management, Strong Mathematical Knowledge, Field Task Management, Ledger Management, Export Documentation"
Senior UI / UX Designer,Faisalabad,150000.0,5.0,Mid,Full Time,Creative Design,Experienced Professional,"UX and UI, Figma, Adobe Creative Suite"
HR Intern,Lahore,17500.0,1.0,Entry,Other,Human Resources,Intern/Student,"Graphic Designing, Sheet Management, Canva, Talent Acquisition, Problem Solving"
Office Assistant,Other,27500.0,1.0,Entry,Part Time,"Secretarial, Clerical & Front Office",Entry Level,"Documents Maintenance Skills, Negotiation Skills, Client Dealing"
Technical Sales Engineer,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Presentation Skills, Customer Service Management, Negotiation Skills, Problem Solving"
GGT Pattern Master,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,Manufacturing,Experienced Professional,"Coordination Skills, GGT Pattern Knowledge, Punctual"
Sales Executive,Lahore,55000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Fluent in English, Communication Skills, Close Attention to Detail, Sales Management"
Product Development Engineer,Lahore,82639.59731543624,3.0,Junior,Full Time,Product Development,Experienced Professional,"Textile Product Development, SAP, Vendor Coordination Skills, Product Sourcing"
Product Development Head,Other,82639.59731543624,15.0,Senior,Full Time,Manufacturing,Department Head,"Market Trend Analysis, Cross-functional Coordination, Technical Fiber Expertise, Strategic Planning, Business Innovation"
Deputy Manager - Fabric Processing,Lahore,82639.59731543624,10.0,Senior,Full Time,Manufacturing,Experienced Professional,"Process Optimization, Quality Control, Fabric Finishing Management, Vendor Management Skills"
Technical Sales Engineer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Communication Skills, Customer Relationship Management, Problem Solving, Negotiations Skills"
Admin Officer,Lahore,82639.59731543624,5.0,Mid,Full Time,Administration,Experienced Professional,"Communication Skills, Presentation Skills, Admin Operations Management"
Media Buying Expert,Lahore,75000.0,2.0,Junior,Full Time,Advertising,Experienced Professional,"Ad Targeting, Performance Metrics, Audience Analysis, Advertising Operations Command, Corporate Website Management, Corporate  IT, Cross Media Marketing, Alternative Media"
MIS Executive / Data Analyst,Lahore,75000.0,2.783132530120482,Junior,Full Time,Data Entry,Experienced Professional,"Data Reconciliation, Reporting Abilities, Statistical Data Analysis"
Assistant Manager - Industrial Engineering,Sialkot,85000.0,5.0,Mid,Full Time,Engineering,Experienced Professional,"Management Analysis, Warranty Quality Assurance Process, تقييم المناهج الدراسية"
Segment Manager,Lahore,112500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Communication Skills, End to End Sales, Sales Management"
Lab Chemist,Sheikhupura,82639.59731543624,4.0,Mid,Full Time,Engineering,Experienced Professional,"Reporting Abilities, Interpret Test Results, Chemical Analyses;"
Custom Duty Receipt / Dispatch Officer,Sheikhupura,82639.59731543624,5.0,Mid,Full Time,Supply Chain Management,Experienced Professional,"Compliance With Regulatory Authority, Close Attention to Detail, Custom Duty"
HSE Officer,Sheikhupura,82639.59731543624,3.0,Junior,Full Time,Safety & Environment,Experienced Professional,"Environment Health Safety Management, HSE Auditing, HSE Management Systems"
Tracker Sales Officer,Islamabad,42500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Monthly Closing, Outdoor Advertising, Sales Management, Target Generation, Communication Skills"
Production Manager,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,Industrial Production,Experienced Professional,"Production Coordination, Shopify Theme Management, Production Administration"
Sales Executive,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Customer Service, Communication Skills, Lead Generation, Problem Solving, Presentation Skills"
Call Center Agent,Karachi,42500.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Active Listening, Communications Skills, Fluent in English"
HR Officer,Islamabad,82639.59731543624,2.783132530120482,Junior,Full Time,Human Resources,Experienced Professional,"Costing Management, Payroll Processing, Payroll Analysis, Compensation Benefit, Reporting Abilities, Problem Analysis Skills, Time Management"
Sales Assistant - Civil,Multan,30000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Persuasion Customer, Construction Safety, Construction Planning"
Customer Service Representative (English Speaker),Karachi,42500.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Communication Skills, Fluent in English, Active Listener"
Credit Officer,Gujranwala,82639.59731543624,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Credit Analysis, Credit Management, Credit Collection Recovery, Credit Evaluation"
Assistant Manager - PPC,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,Engineering,Experienced Professional,"Coordination Skills, Keyword Research Skills, Communication Skills"
Sales / Services Engineer,Lahore,112500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Communication Skills, Maintenance Skills, Troubleshooting  Skills, Customer Service, Problem Solving"
Customer Service Representative,Sialkot,40000.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Admin Task Management, Communication Skills, Fluent in English, Travels Knowledge"
Sublimation Designer,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,Creative Design,Experienced Professional,"Adobe Illustrator, Graphics Editing, Sublimation Destining"
Marketing Agent,Lahore,57500.0,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Data Extractor, Lead Generator, Email Marketing, Campaign Management, Business Development Strategies"
Advertising Assistant,Lahore,21500.0,2.783132530120482,Junior,Full Time,Advertising,Entry Level,"Campaign Management, MS Excel, Digital Marketing Management"
UI / UX Designer,Karachi,75000.0,3.0,Junior,Full Time,Creative Design,Experienced Professional,"Digital Marketing Management, UI, UX"
Business Development Executive,Lahore,40000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Communication Skills, B2B Business Development, Business Development Process"
Business Development Manager,Islamabad,65000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Negotiation Skills, Communication Skills, Real Estate Sales, Digital Marketing Management, End to End Sales"
HR Manager,Other,50000.0,2.783132530120482,Junior,Full Time,Human Resources,Experienced Professional,"Human Recourse Management, Field Task Management, Relationship Management"
Customer Representative Officer,Lahore,35000.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Customer Acquisition Skills, Customer Interaction Management, Customer Analysis, Customer Care Representation, Listening to Customers"
Customer Representative Officer,Lahore,35000.0,2.783132530120482,Junior,Full Time,Telemarketing,Experienced Professional,"Persuasion Customer, Ingredient Management, Customer Success, Customer Care Representation, Listening to Customers, Customer Analysis, Customer Satisfaction Management"
Customer Representative Officer,Lahore,35000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"Customer Analysis, Customer Acquisition Skills, Listening to Customers, Customer Satisfaction Management"
Customer Service Representative / Closer,Lahore,35000.0,2.783132530120482,Junior,Full Time,Telemarketing,Experienced Professional,"Fluent in English, Travels Knowledge, Customer Satisfaction Management"
Re-Sales Officer - IT Hardware,Lahore,37500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"IT Hardware Support, Budgeting Skills, Coordination Skills"
Sales Representative,Karachi,82639.59731543624,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, Sales Automation, Retail Sales"
2D Artist / Illustrator,Islamabad,400000.0,2.0,Junior,Full Time,Creative Design,Experienced Professional,"2D Art, Sketch, Adobe Illustrator"
PHP Developer,Karachi,82639.59731543624,3.0,Junior,Full Time,Software & Web Development,Experienced Professional,"MySQL, CSS, jQuery, HTML, CodeIgniter, Native PHP, Laravel"
Senior Sales Officer,Islamabad,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Digital Marketing Management, End to End Sales"
Executive Assistant to CEO,Islamabad,162500.0,5.0,Mid,Full Time,"Secretarial, Clerical & Front Office",Experienced Professional,"Verbal  and Written Communication Skills, Microsoft Outlook, Admin Task Management, Time Management"
Sales / Services Engineer,Rawalpindi,45000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Dialysis Disposables Knowledge, Biomedical Devices Knowledge, Strategic Relationship Building"
Computer Operator - KPO,Lahore,32500.0,2.783132530120482,Junior,Full Time,Data Entry,Entry Level,"Coordination Skills, Communication Skills, MS Office"
Call Center Agent,Multan,82639.59731543624,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Handle Outbound Calls, Fluent in English, Confidential Documents Handling, Product Distribution Skills"
Assistant Manager Production,Karachi,107500.0,2.783132530120482,Junior,Full Time,Industrial Production,Experienced Professional,"Production Coordination, Injection Molding Knowledge, CNC Machine Knowledge"
Sales / Marketing Executive,Karachi,37500.0,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Event Marketing Strategies, End to End Sales, Sales Management, Communication Skills"
General Manager Treasury / Revenues Assurance,Rawalpindi,82639.59731543624,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Department Head,"Investment Management, Cash flow Analysis, Cash Flow Management, Strategic Finance, Budgeting Skills, Revenue Analysis, Treasury Management"
Assistant Manager Regulatory Affairs,Lahore,75000.0,4.0,Mid,Full Time,Legal Affairs,Experienced Professional,"Dossier Preparation, Interpersonal Leadership, Regulatory Affairs Handling"
Deputy Manager HR,Gujrat,82639.59731543624,2.783132530120482,Junior,Full Time,Human Resources,Experienced Professional,"Payroll Management, Recruitment Skills, Data Analysis, Database Management"
Assistant Manager IT Support – Technical,Gujrat,80000.0,2.783132530120482,Junior,Full Time,Computer Networking,Experienced Professional,"IT Service Delivery, Network Switching, IT Support Responsibilities"
Customer Service Representative / Closer,Lahore,37500.0,2.783132530120482,Junior,Full Time,Telemarketing,Experienced Professional,"Fluent in English, Customer Analysis, Compliance Assurance, Customer Satisfaction Management, Customer Care Representation"
Purchaser,Karachi,45000.0,2.783132530120482,Junior,Full Time,Procurement,Entry Level,"Communications Skills, Pricing Negotiation Skills, Purchase Procurement Knowledge"
Sales Executive,Sargodha,25000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Sales Growth, Marketing Strategies, Sales Management"
Fleet Officer,Other,60000.0,2.783132530120482,Junior,Full Time,Operations,Experienced Professional,"Team Management, Risk Management, Fleet Operations Management, Vehicle Maintenance"
HR Executive,Lahore,82639.59731543624,3.0,Junior,Full Time,Human Resources,Experienced Professional,"Communication Skills, HR Information Management, Payroll Processing, Payroll Management"
Nurse,Karachi,55000.0,1.0,Entry,Full Time,Health & Medicine,Entry Level,"Patient Coordination, Hospital Managemen, Communication Skills"
Compressor Technician,Multan,47500.0,1.0,Entry,Full Time,Maintenance/Repair,Entry Level,"Safety Committee, Machinery Repairing Skills, Maintenance Management, Machine Operations Handling, Equipment Maintenance"
Site Surveyor / Supervisor,Karachi,107500.0,5.0,Mid,Full Time,Architects & Construction,Experienced Professional,"Engineering Drawings, Leveling, Field Surveying, Civil Supervistion, Construction Site Management"
Deputy Manager Fleet,Other,90000.0,2.783132530120482,Junior,Full Time,Operations,Experienced Professional,"Fleet Optimization, Fleet Operations Management, Time Management Skills, Maintenance Knowledge, Technical Skills"
HR Executive,Karachi,65000.0,3.0,Junior,Full Time,Human Resources,Experienced Professional,"Admin Task Planning, Attendance Systems Knowledge, Payroll Management, Recruitment Tools Command"
Digital Marketing Expert,Islamabad,82639.59731543624,2.783132530120482,Junior,Part Time,Marketing,Experienced Professional,"Lead Management, Blog Marketing, Social Media Handling, CRM Command, Digital Marketing Management, Time Management"
Manager Operations,Islamabad,175000.0,10.0,Senior,Full Time,Operations,Experienced Professional,"Report Management, Procurement Contracts  Management, Administrative Management, Operations Management, Admin Tasks Management"
Customer Sales Representative,Karachi,82639.59731543624,1.0,Entry,Full Time,Telemarketing,Entry Level,"Cold  Calling, Call Handling, Fluent in English, Sales Management"
Security Guard,Lahore,35000.0,2.783132530120482,Junior,Full Time,Security,Experienced Professional,"Weapons Handling, Security Awareness, Security Operations"
Regional Manager Finance,Lahore,137500.0,5.0,Mid,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Payroll Process, MS Excel, Taxation Knowledge"
Amazon FBA Conversion Specialist / Account Manager,Faisalabad,140000.0,3.0,Junior,Full Time,Operations,Experienced Professional,"SKU Metrics, Amazon FBA Knowledge, Amazon Operations Management"
3D Blender Artist,Lahore,82639.59731543624,1.0,Entry,Full Time,Creative Design,Experienced Professional,"3D Creative Skills, 3D Rendering, Texturing and Shading"
2D Artist / Illustrator,Islamabad,82639.59731543624,2.0,Junior,Full Time,Creative Design,Experienced Professional,"2D Art, Adobe Illustrator, 2D Graphics"
Quantity Surveyor,Lahore,37500.0,2.783132530120482,Junior,Full Time,Architects & Construction,Entry Level,"Communication Skills, Store Management, Solar Industry Skills, Computer Graphics Knowledge, Quantity Surveying"
Email Corresponding Executive,Lahore,50000.0,1.0,Entry,Full Time,Client Services & Customer Support,Entry Level,"Leads Generation, Email List Generation, Data Management"
Email Support Executive,Lahore,17500.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Email Campaign Handling, Admin Operations Management, Email Etiquette, Fluent in English"
Sales Officer - Tea,Islamabad,20000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, End to End Sales, Communication Skills"
Full Stack Developer - Nuxt.js / Nest.js,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Software & Web Development,Experienced Professional,"Server Configuration, System Architecture, RESTful APIs, Nest.js, Nuxt.js"
Trainee CAD Engineer,Karachi,35000.0,2.783132530120482,Junior,Full Time,Engineering,Entry Level,"CAD, Solid Works, AutoCAD, 2D CAD Modeling"
English Teacher,Karachi,27500.0,2.783132530120482,Junior,Full Time,"Teachers/Education, Training & Development",Entry Level,"Team Building, Fluent in English, Teacher Evaluation"
Social Media Marketing Executive - Meta Ads Expert,Lahore,52500.0,2.783132530120482,Junior,Full Time,Marketing,Experienced Professional,"Social Media Marketing, Meta Ads, Linked Analytics, Keyword Research, Google Ads"
GraphQL Engineer Expert,Islamabad,25000.0,5.0,Mid,Full Time,Software & Web Development,Experienced Professional,"GraphQL, TypeScript, NodeJs"
Video Editor,Lahore,82639.59731543624,1.0,Entry,Full Time,Creative Design,Experienced Professional,"Video Editing Techniques, DaVinci Resolve, Adobe Premiere Pro"
Video Editor,Islamabad,65000.0,1.0,Entry,Full Time,Creative Design,Entry Level,"Video Editing Techniques, Adobe Photoshop, Corel Draw"
Graphic Desiger,Rawalpindi,82639.59731543624,1.0,Entry,Part Time,Creative Design,Entry Level,"3D Creative Skills, 2D Graphics, Graphics Editing"
Junior / Senior Sales Partner,Islamabad,110000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, Client Relations  Management, Fluent in English"
Customer Service Representative,Islamabad,140000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Travels Knowledge, Cold  Calling, Fluent in English"
Call Center Agent,Rawalpindi,82639.59731543624,2.783132530120482,Junior,Part Time,Telemarketing,Entry Level,"Listening to Customers, Telemarketing Skills, Communication Skills, Fluent in English"
Web Developer,Rawalpindi,19500.0,1.0,Entry,Full Time,Software & Web Development,Entry Level,"PSD to WordPress, HTML, Javascript, PHP"
Video Editor,Islamabad,65000.0,1.0,Entry,Full Time,Creative Design,Entry Level,"Final Cut Pro, Video Editing Techniques, Adobe Pro"
Shift Manager,Other,27500.0,1.0,Entry,Full Time,Operations,Entry Level,"Shift Handling, Inventory Management, Hands on Problem Solving"
Python Developer,Lahore,40000.0,2.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Docker, Artificial Intelligence, Python, MS SQL Server, MongoDB, RAG, Large Language Models"
Assistant Accountant,Lahore,40000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"MS Office, Reconciliation, Accounting, Payroll Process"
IT Support Executive,Karachi,35000.0,2.0,Junior,Full Time,Computer Networking,Experienced Professional,"Microsoft Office, Software Support, Network Support, IT Support Responsibilities, Server Support"
Accounts Officer,Karachi,35000.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Payroll Process, Accounting, Financial Accounting"
Sales Representative,Lahore,32500.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Sales Growth, Sales Management, End to End Sales, Communication Skills"
Chief Operational Officer,Islamabad,65000.0,2.783132530120482,Junior,Full Time,Operations,Entry Level,"Admin Operations Management, Operations Control, MIT Knowledge, Data Comparison, تقييم المناهج الدراسية"
Financial Accountant,Lahore,82639.59731543624,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Financial Accounting, Financial Statement Analysis, Financial Analysis"
Typist,Karachi,7500.0,2.783132530120482,Junior,Full Time,Data Entry,Experienced Professional,"Computer Proficient, Typing Speed, Binding Knowledge, Admin Operations Management"
Office Assistant,Karachi,32500.0,2.783132530120482,Junior,Full Time,"Secretarial, Clerical & Front Office",Experienced Professional,"Record Keeping, Analytical Skills, Front Office Support, Organizational Skills"
Warehouse Incharge / Assistant Warehouse Incharge,Lahore,82639.59731543624,2.0,Junior,Full Time,Warehousing,Experienced Professional,"Warehouse Lending, Interpersonal Leadership, Problem Solving, Team Building"
Marketing Assistant,Lahore,75000.0,1.0,Entry,Full Time,Marketing,Entry Level,"Communication Skills, Data Management, Admin Operations Management"
Trademark Specialist,Okara,85000.0,5.0,Mid,Full Time,Legal Affairs,Experienced Professional,"Legal Advisory, IPO, Communication Skills"
Sales Officer - Retail,Lahore,82639.59731543624,1.0,Entry,Full Time,Retail,Entry Level,"Retail Sales, Communication Skills, End  to End Sales, Negotiation Skills"
Assistant Manager - Business Development,Karachi,75000.0,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Business Development Process, Freight Forwarding, End to End Sales, Communication Skills"
Real Estate Agent - Sales,Karachi,47500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Interpersonal Skills, Sales Management, Communication Skills"
Export Operations Manager,Lahore,137500.0,2.783132530120482,Junior,Full Time,Import & Export,Experienced Professional,"Shipping Line Relationship, Freight Forwarding Management, International Shipping Knowledge, Active Transportation, Export  Operations Management, Custom Clearance, MS Office, Export and Import Management"
Mechanical Rotary Engineer,Karachi,125000.0,15.0,Senior,Full Time,Engineering,Experienced Professional,"Rotary Equipment Design, Packaged Equipment Expertise, Rotary Engineer Knowledge"
Senior Sales Executive,Karachi,82639.59731543624,3.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Fluent in English, Sales Management, Lead Generation  Skills, B2B Business Development"
Admin Manager,Lahore,82639.59731543624,2.0,Junior,Full Time,Operations,Experienced Professional,"Software Working, Excel Reporting And Analysis, Support To Human Resource Department, Branch Financial Management, Company Policies Compliance, Operations Management, Branch Administration Skills, Administrative Management"
Quality Assurance Executive,Sialkot,82639.59731543624,2.783132530120482,Junior,Full Time,Quality Assurance (Qa),Experienced Professional,"Shopify Theme Management, Communication Skills, Problem Solving Skills"
Google My Business Specialist,Lahore,90000.0,2.783132530120482,Junior,Full Time,Marketing,Experienced Professional,"GMB Optimization, Google Analytics, Keyword Research Skills"
Finance Manager,Karachi,175000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Financial Analysis, Communication Skills, Financial Statement Analysis, MS Excel"
Assistant Manager / Sr. Executive IT,Lahore,60000.0,4.0,Mid,Full Time,Computer Networking,Experienced Professional,"IT Inventory Management, System Hardware, Networking Skills, Computer Systems Analysis, Cloud Computing  Knowledge"
SEO / Content Writer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Writer,Entry Level,"Content Blogging, Fluent in English, Content Writing Skills"
Graphic Designer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Creative Design,Experienced Professional,"Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro"
Video Editor,Karachi,37500.0,1.0,Entry,Full Time,Creative Design,Entry Level,"Adobe Photoshop, Adobe Illustrator, Videographer, Video Editing Techniques, Video Ads Management, Commercial Videos Knowledge, Adobe After Effects, Adobe Premiere"
Investment Advisor,Islamabad,35000.0,5.0,Mid,Full Time,Investment Operations,Experienced Professional,"Project Analysis, Presentation Skills, Communication Skills, Client Confidentiality, Client Dealing, Client Relations  Management, كلينت فلوب"
Telesales Representative,Lahore,50000.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Cold  Calling, Customer Care Representation, Listening to Customers"
Telesales Representative,Lahore,47500.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Telemarketing  Skills, Customer Satisfaction Management, Listening to Customers"
Quran Teacher,Islamabad,30000.0,3.0,Junior,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Tajweed, Tilawat, Coordination Skills"
Physics Teacher,Islamabad,32500.0,3.0,Junior,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Fluent in English, Presentation Skills, Physics Command"
Maths Teacher,Islamabad,32500.0,3.0,Junior,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Fluent in English, Coordination Skills, Strong Mathematical Knowledge"
Biology Teacher,Islamabad,32500.0,3.0,Junior,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Coordination Skills, Concept Based Teaching, Problem Solving"
Content Writer Manager,Lahore,137500.0,3.0,Junior,Full Time,Writer,Experienced Professional,"Content Optimization, Content Management, Content Blogging, Digital Copy Writing, Blog Posting, Content Writing Skills"
Call Center Agent,Islamabad,82639.59731543624,1.0,Entry,Full Time,Telemarketing,Entry Level,"Communication Skills, Persuasion Customer, Listening to Customers, Telemarketing  Skills"
